,name,price
0,Apple iPad 2nd 3rd 4th Generation 16GB 32GB 64GB 128GB PICK: GB/Color/Condition,$79.99 to $159.99
1,Apple iPad Air 1st Gen A1474 | 16GB | Wi-Fi | 9.7 in Tablet - Space Gray iOS 12,$134.95
2,"Apple iPad Air 2 64 GB, Wi-Fi, 9.7in - Space Gray Grade A Excellent Condition",$229.99
3,"Apple iPad Air 2 64 GB, Wi-Fi, 9.7in - Space Gray ",$189.99
4,"2020 Apple iPad 8th Gen 32/128GB WiFi 10.2"" Latest Model",$375.00 to $449.00
5,Apple iPad Mini 5 (5th Gen) - 64GB - 256GB - Wi-Fi - Wi-Fi + Cellular,$329.00
6,Apple iPad 2nd 3rd 4th Generation 16GB 32GB ,$44.89 to $94.89
7,"Apple iPad 4th Gen. 64GB, Wi-Fi, 9.7in - Black (CA)",$119.99
8,"Apple iPad Pro 12.9"" 256GB Space Gray Wi-Fi MXAT2LL/A 2020 Model 4th Gen",$849.00
9,"Apple iPad 10.2"" 128GB (2020 Model) MYLD2LL/A Wi-Fi (Space Gray) 8th Generation",$379.00
10,"Apple iPad Air - 9.7-inch, Space Gray, 16GB, Wi-Fi Only, Exclusive Bundle Deal",$179.95
11,Apple iPad mini 1st Gen with Wi-Fi 16GB in Space Gray,$58.99
12,Apple iPad Air 2 64GB - Wi-Fi + Cellular - Unlocked - 9.7in - A1567 - SEE IMAGES,$179.00
13,NEW Apple iPad 2 3 4 Air Air 2 Pro & Mini - WiFi or Cell - 16GB 32GB 64GB 128GB,$119.95 to $479.80
14,"Apple iPad Air 2 32GB, Wi-Fi, 9.7in - Gold",$199.99
15,Apple iPad Mini 1st Generation 16GB 32GB 64GB AT&T Sprint Verizon WiFi Cellular,$59.89 to $99.89
16,Apple iPad Air 2 64GB Verizon GSM Unlocked Wi-Fi + Cellular - All Colors,$209.99
17,Apple iPad Pro (12.9 inch) - 128GB - Wi-Fi + Cellular -Space Gray -Silver -Gold,$439.00 to $459.00
18,2020 Apple iPad 8th Gen 32/128GB WiFi 10.2 Inch Latest Model BRAND NEW Sealed!,$370.00 to $449.00
19,"Apple iPad 6th Gen. 2018 - 32GB, Wi-Fi, 9.7in - Space Gray - GRADE A (R)",$269.85
20,"Apple 11"" iPad Pro 256GB Space Gray Wi-Fi 2020 Model MXDC2LL/A",$699.00
21,"Apple iPad 3 32GB MD340LL/A A1416 9.7"" Black & Silver WiFi iOS 9.3.5",$64.77
22,Apple iPad (8th Gen) WIFI - 128gb - All Colors - Factory Sealed - Apple Warranty,$420.00
23,"Apple iPad Air,mini,2,3,4 64GB 32GB 16GB Wi-Fi+4G Cellular (1 Year Warranty)",$99.95 to $319.95
24,"2020 Apple iPad Air 4th Gen 64GB/256GB WiFi 10.9"" Latest Model",$602.00 to $880.00
25,"Apple iPad Air 2 64 GB, Wi-Fi, 9.7in - Space Gray in A Excellent Condition",$199.99
26,"Apple iPad 1st Gen. 64GB, Wi-Fi + 3G (AT&T), 9.7in - Black",$17.50
27,Apple iPad (8th Gen) WIFI - 32gb - All Colors - Factory Sealed - Apple Warranty,$335.00
28,"New ListingApple iPad 8th Gen. 32GB, Wi-Fi, 10.2 in - Space Gray",$279.99
29,"Apple iPad 4th Generation WIFI + Cellular with Retina Display 16GB, 32GB, 64GB ",$99.99 to $119.99
30,"✅Apple iPad Pro 1st 9.7 in Wi-Fi, 32GB 128GB 256GB Gray Silver Gold Rose Tablet",$214.88 to $284.20
31,Apple iPad Mini 3 WiFi 7.9in | 16GB 64GB 128GB | Gold Silver Space Gray,$159.99 to $219.99
32,"New ListingApple iPad mini 4 128GB, Wi-Fi, 7.9in - Space Gray with keyboard",$15.50
33,"NEW Apple iPad Mini 1 32GB, Wi-Fi + Bluetooth (Unlocked), A1455, 7.9in - Gray",$119.95
34,"Apple iPad 4th Gen., 16GB, Wi-Fi, 9.7"" - Black (MD510LL/A)",$85.49
35,"Apple iPad 5th Gen 128GB, Wi-Fi, 9.7"" - Space Gray ",$239.99
36,"Apple iPad mini 2 32GB, Wi-Fi, 7.9in - Space Gray - Grade C",$69.99
37,Apple iPad Mini 2 A1489 A1490 16GB 32GB 64GB 128GB 4G Cellular WiFi Retina,$109.89 to $199.89
38,Apple iPad Mini 1st Gen - 16GB  Wi-Fi 7.9in - Black and Silver ,$74.99
39,"Apple iPad Air 2, WiFi & 4G Cellular Unlocked - 16GB 32GB 64GB  - Gray Silver ",$184.99 to $224.99
40,Apple iPad 6 (6th Gen) - (2018 Model) - 32GB - Wi-Fi & Cellular,$239.00
41,Apple iPad Mini 1st Gen - 16GB - Wi-Fi 7.9in - Black Gray Silver - Grade A (R),$79.85
